brand, product_name, price, shipping 
GIGABYTE,GIGABYTE RTX 2080 TI 11GB GDDR6 GV-N208TWF3-11GC PCI Express 3.0 x16 Video Card,999,Free Shipping
EVGA,EVGA GeForce RTX 2080 XC HYBRID GAMING| 08G-P4-2184-KR| 8GB GDDR6| HYBRID & RGB LED,899,Free Shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OCV1 Video Card,529,Free Shipping
EVGA,EVGA GeForce RTX 2080 FTW3 ULTRA HYBRID GAMING| 08G-P4-2284-KR| 8GB GDDR6| RGB LED & iCX2 Technology - 9 Thermal Sensors,929,Free Shipping
ASUS,ASUS AREZ Expedition Radeon RX 570 DirectX 12 AREZ-EX-RX570-O8G Video Card,149,Free Shipping
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+| 8GB 256-bit GDDR5| DX12 VR Ready| Double Dissipation| Dual BIOS| PCI-E AMD Graphics Card (RX-580P828D6),189,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 590 Gaming 8G Graphics Card| 2 x WINDFORCE Fans| 8GB 256-Bit GDDR5| GV-RX590GAMING-8GD Video Card,239,Free Shipping
XFX,XFX Radeon VII DirectX 12 RX-VEGMA3FD6 Video Card,699,$6.99 Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 GAMING Z 6G Video Card,389,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 580 DirectX 12 RX580 8G OC Video Card,169,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,209,$3.99 Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card| Super Compact| ZT-T16600F-10L,219,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR5| GV-N1660OC-6GD Video Card,219,Free Shipping
ASUS,ASUS Dual GeForce RTX 2070 DirectX 12 DUAL-RTX2070-O8G Video Card,529,Free Shipping
EVGA,EVGA GeForce GTX 1660 XC Ultra GAMING| 06G-P4-1167-KR| 6GB GDDR5| HDB Fan,249,Free Shipping
ASUS,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G Video Card,239,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card| 3 x WINDFORCE Fans| 11GB 352-Bit GDDR6| GV-N208TGAMING OC-11GC Video Card,1,199,Free Shipping
MSI,MSI Radeon RX Vega 56 DirectX 12 RX Vega 56 Air Boost 8G OC 8GB 2048-Bit HBM2 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,329,Free Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,194,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,209,Free Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI)| 100411NT+8GL,229,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2080 AMP 8GB GDDR6 256-bit Gaming Graphics Card| Active Fan Control| Metal Backplate| Spectra Lighting (ZT-T20800D-10P),789,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING| 11G-P4-2487-KR| 11GB GDDR6| iCX2 & RGB LED,1,499,Free Shipping
MSI,MSI GeForce RTX 2080 Ti DirectX 12 RTX 2080 TI SEA HAWK EK X Video Card,1,299,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 GAMING OC 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070GAMING OC-8GC Video Card,499,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC Video Card,359,Free Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G Video Card,129,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G Video Card,309,Free Shipping
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI ARMOR 6G OC Video Card,294,Free Shipping
ASUS,ASUS GeForce GTX 1660 Overclocked 6GB Phoenix Fan Edition HDMI DP DVI Graphics Card (PH-GTX1660-O6G),224,$6.99 Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2070 AMP Extreme 8GB GDDR6 256-bit Graphics Card| IceStorm 2.0| Active Fan Control| Metal Wraparound Backplate| Spectra RGB LED Lighting (ZT-T20700B-10P),559,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 580 DirectX 12 GV-RX580GAMING-8GD Video Card,199,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING| 08G-P4-1071-KR| 8GB GDDR6| Dual HDB Fans,499,Free Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,169,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING Video Card,1,369,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N166TWF2OC-6GD Video Card,279,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card| Super Compact| IceStorm 2.0| ZT-T20600F-10M,349,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 WINDFORCE 8G Graphics Card| 3 x WINDFORCE Fans| 8GB 256-Bit GDDR6| GV-N2070WF3-8GC Video Card,479,Free Shipping
EVGA,EVGA GeForce RTX 2080 BLACK EDITION GAMING| 08G-P4-2081-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,729,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC Video Card,199,Free Shipping
ASUS,ASUS Turbo GeForce GTX 1070 TURBO-GTX1070-8G Video Card,469,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,1,249,Free Shipping
ZOTAC,ZOTAC GeForce GTX 1050 Ti DirectX 12 ZT-P10510A-10L 4GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Mini Video Card,159,Free Shipping
ASRock,ASRock Phantom Gaming D Radeon RX 580 DirectX 12 RX580 8G OC Video Card,189,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC Video Card,229,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1650 OC 4G Graphics Card| 2 x WINDFORCE Fans| 4GB 128-Bit GDDR5| GV-N1650OC-4GD Video Card,159,Free Shipping
ASUS,ASUS GeForce GTX 1650 Overclocked 4GB Dual-fan Edition HDMI DP 1.4 DVI Graphics Card (DUAL-GTX1650-O4G),164,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card,629,Free Shipping
EVGA,EVGA GeForce GTX 1650 XC GAMING Video Card| 04G-P4-1153-KR| 4GB GDDR5,169,Free Shipping
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G Video Card,179,Free Shipping
GIGABYTE,GIGABYTE Radeon RX Vega 56 DirectX 12 GV-RXVEGA56GAMING OC-8GD Video Card,299,Free Shipping
PNY Technologies, Inc.,PNY GeForce RTX 2070 DirectX 12 VCG20708BLMPB Video Card,499,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon VII DirectX 12 Radeon VII 16G Video Card,679,$6.99 Shipping
GIGABYTE,GIGABYTE AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC Video Card,1,299,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 DirectX 12 GV-N1070WF3-8GD Video Card,329,Free Shipping
ZOTAC,ZOTAC GAMING GeForce GTX 1650 OC 4GB GDDR5 128-bit Gaming Graphics Card| Super Compact| ZT-T16500F-10L,149,Free Shipping
ASUS,ASUS Dual GeForce GTX 1660 Ti DUAL-GTX1660TI-O6G Video Card,309,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 TURBO OC 8G Graphics Card| Turbo Style Fan| 8GB 256-Bit GDDR6| GV-N2080TURBO OC-8GC Video Card,789,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,139,Free Shipping
EVGA,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,579,Free Shipping
XFX,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,229,Free Shipping
EVGA,EVGA GeForce GTX 1660 Ti XC GAMING| 06G-P4-1263-KR| 6GB GDDR6| HDB Fan,289,Free Shipping
